year,county_name,urbanicity,region,division,pop_category,population,prison_population
1979,Butte County,small/mid,West,Pacific,Black,1138,NA
1980,Butte County,small/mid,West,Pacific,Black,1186,NA
1981,Butte County,small/mid,West,Pacific,Black,1223,NA
1982,Butte County,small/mid,West,Pacific,Black,1247,NA
1983,Butte County,small/mid,West,Pacific,Black,1264,23
1984,Butte County,small/mid,West,Pacific,Black,1280,29
1985,Butte County,small/mid,West,Pacific,Black,1313,32
1986,Butte County,small/mid,West,Pacific,Black,1341,34
1987,Butte County,small/mid,West,Pacific,Black,1368,39
1988,Butte County,small/mid,West,Pacific,Black,1407,47
1989,Butte County,small/mid,West,Pacific,Black,1454,55
1990,Butte County,small/mid,West,Pacific,Black,1405,63
1991,Butte County,small/mid,West,Pacific,Black,1472,71
1992,Butte County,small/mid,West,Pacific,Black,1536,90
1993,Butte County,small/mid,West,Pacific,Black,1601,94
1994,Butte County,small/mid,West,Pacific,Black,1643,104
1995,Butte County,small/mid,West,Pacific,Black,1709,109
1996,Butte County,small/mid,West,Pacific,Black,1753,130
1997,Butte County,small/mid,West,Pacific,Black,1830,127
1998,Butte County,small/mid,West,Pacific,Black,1906,135
1999,Butte County,small/mid,West,Pacific,Black,1978,134
2000,Butte County,small/mid,West,Pacific,Black,2071,139
2001,Butte County,small/mid,West,Pacific,Black,2149,130
2002,Butte County,small/mid,West,Pacific,Black,2249,127
2003,Butte County,small/mid,West,Pacific,Black,2314,138
2004,Butte County,small/mid,West,Pacific,Black,2381,167
2005,Butte County,small/mid,West,Pacific,Black,2484,159
2006,Butte County,small/mid,West,Pacific,Black,2567,157
2007,Butte County,small/mid,West,Pacific,Black,2682,159
2008,Butte County,small/mid,West,Pacific,Black,2729,156
2009,Butte County,small/mid,West,Pacific,Black,2816,156
2010,Butte County,small/mid,West,Pacific,Black,2878,150
2011,Butte County,small/mid,West,Pacific,Black,3032,132
2012,Butte County,small/mid,West,Pacific,Black,3060,115
2013,Butte County,small/mid,West,Pacific,Black,3038,122
2014,Butte County,small/mid,West,Pacific,Black,3134,120
2015,Butte County,small/mid,West,Pacific,Black,3212,99
2016,Butte County,small/mid,West,Pacific,Black,3309,NA
1970,Calaveras County,rural,West,Pacific,Black,72,NA
1971,Calaveras County,rural,West,Pacific,Black,76,NA
1972,Calaveras County,rural,West,Pacific,Black,75,NA
1973,Calaveras County,rural,West,Pacific,Black,78,NA
1974,Calaveras County,rural,West,Pacific,Black,80,NA
1975,Calaveras County,rural,West,Pacific,Black,78,NA
1976,Calaveras County,rural,West,Pacific,Black,68,NA
1977,Calaveras County,rural,West,Pacific,Black,65,NA
1978,Calaveras County,rural,West,Pacific,Black,65,NA
1979,Calaveras County,rural,West,Pacific,Black,58,NA
1980,Calaveras County,rural,West,Pacific,Black,55,NA
1981,Calaveras County,rural,West,Pacific,Black,66,NA
1982,Calaveras County,rural,West,Pacific,Black,70,NA
1983,Calaveras County,rural,West,Pacific,Black,78,0
1984,Calaveras County,rural,West,Pacific,Black,86,0
1985,Calaveras County,rural,West,Pacific,Black,92,0
1986,Calaveras County,rural,West,Pacific,Black,95,0
1987,Calaveras County,rural,West,Pacific,Black,101,0
1988,Calaveras County,rural,West,Pacific,Black,108,0
1989,Calaveras County,rural,West,Pacific,Black,122,0
1990,Calaveras County,rural,West,Pacific,Black,122,0
1991,Calaveras County,rural,West,Pacific,Black,128,0
1992,Calaveras County,rural,West,Pacific,Black,137,0
1993,Calaveras County,rural,West,Pacific,Black,146,0
1994,Calaveras County,rural,West,Pacific,Black,156,NA
1995,Calaveras County,rural,West,Pacific,Black,167,0
1996,Calaveras County,rural,West,Pacific,Black,169,0
1997,Calaveras County,rural,West,Pacific,Black,186,0
1998,Calaveras County,rural,West,Pacific,Black,188,0
1999,Calaveras County,rural,West,Pacific,Black,206,0
2000,Calaveras County,rural,West,Pacific,Black,232,0
2001,Calaveras County,rural,West,Pacific,Black,259,NA
2002,Calaveras County,rural,West,Pacific,Black,271,NA
2003,Calaveras County,rural,West,Pacific,Black,288,NA
2004,Calaveras County,rural,West,Pacific,Black,304,NA
2005,Calaveras County,rural,West,Pacific,Black,286,NA
2006,Calaveras County,rural,West,Pacific,Black,306,NA
2007,Calaveras County,rural,West,Pacific,Black,301,0
2008,Calaveras County,rural,West,Pacific,Black,317,NA
2009,Calaveras County,rural,West,Pacific,Black,323,NA
2010,Calaveras County,rural,West,Pacific,Black,314,NA
2011,Calaveras County,rural,West,Pacific,Black,349,0
2012,Calaveras County,rural,West,Pacific,Black,354,0
2013,Calaveras County,rural,West,Pacific,Black,358,NA
2014,Calaveras County,rural,West,Pacific,Black,348,0
2015,Calaveras County,rural,West,Pacific,Black,349,0
2016,Calaveras County,rural,West,Pacific,Black,370,NA
1970,Colusa County,rural,West,Pacific,Black,56,NA
1971,Colusa County,rural,West,Pacific,Black,57,NA
1972,Colusa County,rural,West,Pacific,Black,55,NA
1973,Colusa County,rural,West,Pacific,Black,57,NA
1974,Colusa County,rural,West,Pacific,Black,53,NA
1975,Colusa County,rural,West,Pacific,Black,51,NA
1976,Colusa County,rural,West,Pacific,Black,50,NA
1977,Colusa County,rural,West,Pacific,Black,50,NA
1978,Colusa County,rural,West,Pacific,Black,50,NA
1979,Colusa County,rural,West,Pacific,Black,47,NA
1980,Colusa County,rural,West,Pacific,Black,51,NA
1981,Colusa County,rural,West,Pacific,Black,53,NA
1982,Colusa County,rural,West,Pacific,Black,53,NA
1983,Colusa County,rural,West,Pacific,Black,55,NA
1984,Colusa County,rural,West,Pacific,Black,56,NA
1985,Colusa County,rural,West,Pacific,Black,59,NA
1986,Colusa County,rural,West,Pacific,Black,62,NA
1987,Colusa County,rural,West,Pacific,Black,64,NA
1988,Colusa County,rural,West,Pacific,Black,66,NA
1989,Colusa County,rural,West,Pacific,Black,65,NA
1990,Colusa County,rural,West,Pacific,Black,46,NA
1991,Colusa County,rural,West,Pacific,Black,43,NA
1992,Colusa County,rural,West,Pacific,Black,43,NA
1993,Colusa County,rural,West,Pacific,Black,40,NA
1994,Colusa County,rural,West,Pacific,Black,36,4
1995,Colusa County,rural,West,Pacific,Black,36,5
1996,Colusa County,rural,West,Pacific,Black,41,NA
1997,Colusa County,rural,West,Pacific,Black,39,NA
1998,Colusa County,rural,West,Pacific,Black,39,5
1999,Colusa County,rural,West,Pacific,Black,49,5
2000,Colusa County,rural,West,Pacific,Black,60,4
2001,Colusa County,rural,West,Pacific,Black,63,NA
2002,Colusa County,rural,West,Pacific,Black,68,NA
2003,Colusa County,rural,West,Pacific,Black,77,NA
2004,Colusa County,rural,West,Pacific,Black,81,NA
2005,Colusa County,rural,West,Pacific,Black,106,4
2006,Colusa County,rural,West,Pacific,Black,111,4
2007,Colusa County,rural,West,Pacific,Black,114,6
2008,Colusa County,rural,West,Pacific,Black,113,6
2009,Colusa County,rural,West,Pacific,Black,127,NA
2010,Colusa County,rural,West,Pacific,Black,128,5
2011,Colusa County,rural,West,Pacific,Black,164,NA
2012,Colusa County,rural,West,Pacific,Black,171,NA
2013,Colusa County,rural,West,Pacific,Black,175,4
2014,Colusa County,rural,West,Pacific,Black,179,6
2015,Colusa County,rural,West,Pacific,Black,186,NA
2016,Colusa County,rural,West,Pacific,Black,189,NA
1970,Contra Costa County,suburban,West,Pacific,Black,25039,NA
1971,Contra Costa County,suburban,West,Pacific,Black,26377,NA
1972,Contra Costa County,suburban,West,Pacific,Black,27689,NA
1973,Contra Costa County,suburban,West,Pacific,Black,29086,NA
1974,Contra Costa County,suburban,West,Pacific,Black,30427,NA
1975,Contra Costa County,suburban,West,Pacific,Black,31789,NA
1976,Contra Costa County,suburban,West,Pacific,Black,33358,NA
1977,Contra Costa County,suburban,West,Pacific,Black,34900,NA
1978,Contra Costa County,suburban,West,Pacific,Black,36149,NA
1979,Contra Costa County,suburban,West,Pacific,Black,37681,NA
1980,Contra Costa County,suburban,West,Pacific,Black,39668,NA
1981,Contra Costa County,suburban,West,Pacific,Black,40367,NA
1982,Contra Costa County,suburban,West,Pacific,Black,41138,NA
1983,Contra Costa County,suburban,West,Pacific,Black,41854,327
1984,Contra Costa County,suburban,West,Pacific,Black,42458,350
1985,Contra Costa County,suburban,West,Pacific,Black,43280,398
1986,Contra Costa County,suburban,West,Pacific,Black,44205,545
1987,Contra Costa County,suburban,West,Pacific,Black,45179,639
1988,Contra Costa County,suburban,West,Pacific,Black,46498,696
1989,Contra Costa County,suburban,West,Pacific,Black,48127,NA
1990,Contra Costa County,suburban,West,Pacific,Black,47915,NA
1991,Contra Costa County,suburban,West,Pacific,Black,48953,646
1992,Contra Costa County,suburban,West,Pacific,Black,50606,664
1993,Contra Costa County,suburban,West,Pacific,Black,51397,803
1994,Contra Costa County,suburban,West,Pacific,Black,52274,863
1995,Contra Costa County,suburban,West,Pacific,Black,53108,933
1996,Contra Costa County,suburban,West,Pacific,Black,54014,1026
1997,Contra Costa County,suburban,West,Pacific,Black,55662,1111
1998,Contra Costa County,suburban,West,Pacific,Black,57240,1097
1999,Contra Costa County,suburban,West,Pacific,Black,58593,1081
2000,Contra Costa County,suburban,West,Pacific,Black,59913,1028
2001,Contra Costa County,suburban,West,Pacific,Black,61016,932
2002,Contra Costa County,suburban,West,Pacific,Black,61908,968
2003,Contra Costa County,suburban,West,Pacific,Black,62626,949
2004,Contra Costa County,suburban,West,Pacific,Black,63291,940
2005,Contra Costa County,suburban,West,Pacific,Black,64557,883
2006,Contra Costa County,suburban,West,Pacific,Black,65296,892
2007,Contra Costa County,suburban,West,Pacific,Black,66242,891
2008,Contra Costa County,suburban,West,Pacific,Black,67744,887
2009,Contra Costa County,suburban,West,Pacific,Black,68871,936
2010,Contra Costa County,suburban,West,Pacific,Black,69881,905
2011,Contra Costa County,suburban,West,Pacific,Black,70006,901
2012,Contra Costa County,suburban,West,Pacific,Black,70930,851
2013,Contra Costa County,suburban,West,Pacific,Black,71323,856
2014,Contra Costa County,suburban,West,Pacific,Black,72204,879
2015,Contra Costa County,suburban,West,Pacific,Black,72887,883
2016,Contra Costa County,suburban,West,Pacific,Black,73832,NA
1970,Del Norte County,rural,West,Pacific,Black,23,NA
1971,Del Norte County,rural,West,Pacific,Black,25,NA
1972,Del Norte County,rural,West,Pacific,Black,26,NA
1973,Del Norte County,rural,West,Pacific,Black,30,NA
1974,Del Norte County,rural,West,Pacific,Black,29,NA
1975,Del Norte County,rural,West,Pacific,Black,31,NA
1976,Del Norte County,rural,West,Pacific,Black,30,NA
1977,Del Norte County,rural,West,Pacific,Black,32,NA
1978,Del Norte County,rural,West,Pacific,Black,33,NA
1979,Del Norte County,rural,West,Pacific,Black,34,NA
1980,Del Norte County,rural,West,Pacific,Black,54,NA
1981,Del Norte County,rural,West,Pacific,Black,139,NA
1982,Del Norte County,rural,West,Pacific,Black,211,NA
1983,Del Norte County,rural,West,Pacific,Black,287,0
1984,Del Norte County,rural,West,Pacific,Black,356,0
1985,Del Norte County,rural,West,Pacific,Black,424,0
1986,Del Norte County,rural,West,Pacific,Black,497,0
1987,Del Norte County,rural,West,Pacific,Black,566,0
1988,Del Norte County,rural,West,Pacific,Black,646,NA
1989,Del Norte County,rural,West,Pacific,Black,733,NA
1990,Del Norte County,rural,West,Pacific,Black,837,NA
1991,Del Norte County,rural,West,Pacific,Black,1321,4
1992,Del Norte County,rural,West,Pacific,Black,1292,NA
1993,Del Norte County,rural,West,Pacific,Black,1408,NA
1994,Del Norte County,rural,West,Pacific,Black,1427,4
1995,Del Norte County,rural,West,Pacific,Black,1283,NA
1996,Del Norte County,rural,West,Pacific,Black,1232,7
1997,Del Norte County,rural,West,Pacific,Black,1279,5
1998,Del Norte County,rural,West,Pacific,Black,1284,6
1999,Del Norte County,rural,West,Pacific,Black,1155,5
2000,Del Norte County,rural,West,Pacific,Black,1156,6
2001,Del Norte County,rural,West,Pacific,Black,1144,7
2002,Del Norte County,rural,West,Pacific,Black,1114,8
2003,Del Norte County,rural,West,Pacific,Black,1125,7
2004,Del Norte County,rural,West,Pacific,Black,1101,6
2005,Del Norte County,rural,West,Pacific,Black,1124,7
2006,Del Norte County,rural,West,Pacific,Black,1121,5
2007,Del Norte County,rural,West,Pacific,Black,1130,5
2008,Del Norte County,rural,West,Pacific,Black,1083,5
2009,Del Norte County,rural,West,Pacific,Black,1074,6
2010,Del Norte County,rural,West,Pacific,Black,1059,4
2011,Del Norte County,rural,West,Pacific,Black,1074,5
2012,Del Norte County,rural,West,Pacific,Black,1074,4
2013,Del Norte County,rural,West,Pacific,Black,1066,NA
2014,Del Norte County,rural,West,Pacific,Black,1006,NA
2015,Del Norte County,rural,West,Pacific,Black,926,NA
2016,Del Norte County,rural,West,Pacific,Black,948,NA
1970,El Dorado County,suburban,West,Pacific,Black,53,NA
1971,El Dorado County,suburban,West,Pacific,Black,65,NA
1972,El Dorado County,suburban,West,Pacific,Black,79,NA
1973,El Dorado County,suburban,West,Pacific,Black,96,NA
1974,El Dorado County,suburban,West,Pacific,Black,108,NA
1975,El Dorado County,suburban,West,Pacific,Black,124,NA
1976,El Dorado County,suburban,West,Pacific,Black,138,NA
1977,El Dorado County,suburban,West,Pacific,Black,151,NA
1978,El Dorado County,suburban,West,Pacific,Black,169,NA
1979,El Dorado County,suburban,West,Pacific,Black,190,NA
1980,El Dorado County,suburban,West,Pacific,Black,211,NA
1981,El Dorado County,suburban,West,Pacific,Black,233,NA
1982,El Dorado County,suburban,West,Pacific,Black,252,NA
1983,El Dorado County,suburban,West,Pacific,Black,266,4
1984,El Dorado County,suburban,West,Pacific,Black,278,6
1985,El Dorado County,suburban,West,Pacific,Black,295,NA
1986,El Dorado County,suburban,West,Pacific,Black,315,7
1987,El Dorado County,suburban,West,Pacific,Black,339,7
1988,El Dorado County,suburban,West,Pacific,Black,363,NA
1989,El Dorado County,suburban,West,Pacific,Black,389,NA
1990,El Dorado County,suburban,West,Pacific,Black,397,NA
1991,El Dorado County,suburban,West,Pacific,Black,426,7
1992,El Dorado County,suburban,West,Pacific,Black,448,8
1993,El Dorado County,suburban,West,Pacific,Black,464,12
1994,El Dorado County,suburban,West,Pacific,Black,488,17
1995,El Dorado County,suburban,West,Pacific,Black,524,19
1996,El Dorado County,suburban,West,Pacific,Black,529,15
1997,El Dorado County,suburban,West,Pacific,Black,564,22
1998,El Dorado County,suburban,West,Pacific,Black,597,22
1999,El Dorado County,suburban,West,Pacific,Black,632,18
2000,El Dorado County,suburban,West,Pacific,Black,667,20
2001,El Dorado County,suburban,West,Pacific,Black,733,20
2002,El Dorado County,suburban,West,Pacific,Black,808,21
2003,El Dorado County,suburban,West,Pacific,Black,874,19
2004,El Dorado County,suburban,West,Pacific,Black,940,18
2005,El Dorado County,suburban,West,Pacific,Black,1034,17
2006,El Dorado County,suburban,West,Pacific,Black,1086,19
2007,El Dorado County,suburban,West,Pacific,Black,1084,17
2008,El Dorado County,suburban,West,Pacific,Black,1109,18
2009,El Dorado County,suburban,West,Pacific,Black,1153,19
2010,El Dorado County,suburban,West,Pacific,Black,1103,24
2011,El Dorado County,suburban,West,Pacific,Black,1168,22
2012,El Dorado County,suburban,West,Pacific,Black,1187,21
2013,El Dorado County,suburban,West,Pacific,Black,1253,20
2014,El Dorado County,suburban,West,Pacific,Black,1269,23
2015,El Dorado County,suburban,West,Pacific,Black,1382,28
2016,El Dorado County,suburban,West,Pacific,Black,1449,NA
1970,Fresno County,small/mid,West,Pacific,Black,11222,NA
1971,Fresno County,small/mid,West,Pacific,Black,11583,NA
1972,Fresno County,small/mid,West,Pacific,Black,11942,NA
1973,Fresno County,small/mid,West,Pacific,Black,12334,NA
1974,Fresno County,small/mid,West,Pacific,Black,12747,NA
1975,Fresno County,small/mid,West,Pacific,Black,13331,NA
1976,Fresno County,small/mid,West,Pacific,Black,13851,NA
1977,Fresno County,small/mid,West,Pacific,Black,14323,NA
1978,Fresno County,small/mid,West,Pacific,Black,14650,NA
1979,Fresno County,small/mid,West,Pacific,Black,14971,NA
1980,Fresno County,small/mid,West,Pacific,Black,16117,NA
1981,Fresno County,small/mid,West,Pacific,Black,16504,NA
1982,Fresno County,small/mid,West,Pacific,Black,16904,NA
1983,Fresno County,small/mid,West,Pacific,Black,17323,290
1984,Fresno County,small/mid,West,Pacific,Black,17829,300
1985,Fresno County,small/mid,West,Pacific,Black,18191,359
1986,Fresno County,small/mid,West,Pacific,Black,18491,421
1987,Fresno County,small/mid,West,Pacific,Black,18960,541
1988,Fresno County,small/mid,West,Pacific,Black,19568,570
1989,Fresno County,small/mid,West,Pacific,Black,20267,613
1990,Fresno County,small/mid,West,Pacific,Black,18752,656
1991,Fresno County,small/mid,West,Pacific,Black,19489,699
1992,Fresno County,small/mid,West,Pacific,Black,20414,740
1993,Fresno County,small/mid,West,Pacific,Black,21080,785
1994,Fresno County,small/mid,West,Pacific,Black,21633,895
1995,Fresno County,small/mid,West,Pacific,Black,22365,933
1996,Fresno County,small/mid,West,Pacific,Black,23562,1020
1997,Fresno County,small/mid,West,Pacific,Black,24409,1085
1998,Fresno County,small/mid,West,Pacific,Black,25032,1117
1999,Fresno County,small/mid,West,Pacific,Black,25735,1077
2000,Fresno County,small/mid,West,Pacific,Black,26511,1069
2001,Fresno County,small/mid,West,Pacific,Black,27173,1078
2002,Fresno County,small/mid,West,Pacific,Black,27974,1085
2003,Fresno County,small/mid,West,Pacific,Black,28719,1123
2004,Fresno County,small/mid,West,Pacific,Black,29522,1125
2005,Fresno County,small/mid,West,Pacific,Black,30202,1104
2006,Fresno County,small/mid,West,Pacific,Black,30686,1120
2007,Fresno County,small/mid,West,Pacific,Black,31073,1137
2008,Fresno County,small/mid,West,Pacific,Black,31824,1115
2009,Fresno County,small/mid,West,Pacific,Black,32226,1095
2010,Fresno County,small/mid,West,Pacific,Black,32488,1019
2011,Fresno County,small/mid,West,Pacific,Black,32575,887
2012,Fresno County,small/mid,West,Pacific,Black,32495,820
2013,Fresno County,small/mid,West,Pacific,Black,32606,867
2014,Fresno County,small/mid,West,Pacific,Black,32686,952
2015,Fresno County,small/mid,West,Pacific,Black,32815,870
2016,Fresno County,small/mid,West,Pacific,Black,33134,NA
1970,Glenn County,rural,West,Pacific,Black,42,NA
1971,Glenn County,rural,West,Pacific,Black,40,NA
1972,Glenn County,rural,West,Pacific,Black,39,NA
1973,Glenn County,rural,West,Pacific,Black,39,NA
1974,Glenn County,rural,West,Pacific,Black,37,NA
1975,Glenn County,rural,West,Pacific,Black,37,NA
1976,Glenn County,rural,West,Pacific,Black,41,NA
1977,Glenn County,rural,West,Pacific,Black,36,NA
1978,Glenn County,rural,West,Pacific,Black,34,NA
1979,Glenn County,rural,West,Pacific,Black,29,NA
1980,Glenn County,rural,West,Pacific,Black,29,NA
1981,Glenn County,rural,West,Pacific,Black,38,NA
1982,Glenn County,rural,West,Pacific,Black,42,NA
1983,Glenn County,rural,West,Pacific,Black,51,NA
1984,Glenn County,rural,West,Pacific,Black,57,NA
1985,Glenn County,rural,West,Pacific,Black,63,NA
1986,Glenn County,rural,West,Pacific,Black,70,NA
1987,Glenn County,rural,West,Pacific,Black,74,NA
1988,Glenn County,rural,West,Pacific,Black,82,NA
1989,Glenn County,rural,West,Pacific,Black,89,NA
1990,Glenn County,rural,West,Pacific,Black,87,NA
1991,Glenn County,rural,West,Pacific,Black,82,NA
1992,Glenn County,rural,West,Pacific,Black,83,NA
1993,Glenn County,rural,West,Pacific,Black,83,0
1994,Glenn County,rural,West,Pacific,Black,83,NA
1995,Glenn County,rural,West,Pacific,Black,81,NA
1996,Glenn County,rural,West,Pacific,Black,84,NA
1997,Glenn County,rural,West,Pacific,Black,85,5
1998,Glenn County,rural,West,Pacific,Black,86,8
1999,Glenn County,rural,West,Pacific,Black,87,7
2000,Glenn County,rural,West,Pacific,Black,100,5
2001,Glenn County,rural,West,Pacific,Black,105,4
2002,Glenn County,rural,West,Pacific,Black,108,5
2003,Glenn County,rural,West,Pacific,Black,117,5
2004,Glenn County,rural,West,Pacific,Black,122,4
2005,Glenn County,rural,West,Pacific,Black,141,6
2006,Glenn County,rural,West,Pacific,Black,146,8
2007,Glenn County,rural,West,Pacific,Black,143,5
2008,Glenn County,rural,West,Pacific,Black,162,NA
2009,Glenn County,rural,West,Pacific,Black,158,NA
2010,Glenn County,rural,West,Pacific,Black,166,NA
2011,Glenn County,rural,West,Pacific,Black,196,NA
2012,Glenn County,rural,West,Pacific,Black,204,NA
2013,Glenn County,rural,West,Pacific,Black,199,NA
2014,Glenn County,rural,West,Pacific,Black,204,NA
2015,Glenn County,rural,West,Pacific,Black,205,NA
2016,Glenn County,rural,West,Pacific,Black,217,NA
1970,Humboldt County,rural,West,Pacific,Black,305,NA
1971,Humboldt County,rural,West,Pacific,Black,318,NA
1972,Humboldt County,rural,West,Pacific,Black,335,NA
1973,Humboldt County,rural,West,Pacific,Black,348,NA
1974,Humboldt County,rural,West,Pacific,Black,358,NA
1975,Humboldt County,rural,West,Pacific,Black,359,NA
1976,Humboldt County,rural,West,Pacific,Black,362,NA
1977,Humboldt County,rural,West,Pacific,Black,365,NA
1978,Humboldt County,rural,West,Pacific,Black,369,NA
1979,Humboldt County,rural,West,Pacific,Black,364,NA
1980,Humboldt County,rural,West,Pacific,Black,378,NA
1981,Humboldt County,rural,West,Pacific,Black,412,NA
1982,Humboldt County,rural,West,Pacific,Black,439,NA
1983,Humboldt County,rural,West,Pacific,Black,461,5
1984,Humboldt County,rural,West,Pacific,Black,489,6
1985,Humboldt County,rural,West,Pacific,Black,517,5
1986,Humboldt County,rural,West,Pacific,Black,546,NA
1987,Humboldt County,rural,West,Pacific,Black,571,5
1988,Humboldt County,rural,West,Pacific,Black,609,4
1989,Humboldt County,rural,West,Pacific,Black,646,7
1990,Humboldt County,rural,West,Pacific,Black,649,10
1991,Humboldt County,rural,West,Pacific,Black,663,13
1992,Humboldt County,rural,West,Pacific,Black,701,17
1993,Humboldt County,rural,West,Pacific,Black,748,16
1994,Humboldt County,rural,West,Pacific,Black,777,18
1995,Humboldt County,rural,West,Pacific,Black,816,20
1996,Humboldt County,rural,West,Pacific,Black,850,23
1997,Humboldt County,rural,West,Pacific,Black,908,28
1998,Humboldt County,rural,West,Pacific,Black,922,33
1999,Humboldt County,rural,West,Pacific,Black,952,21
2000,Humboldt County,rural,West,Pacific,Black,984,21
2001,Humboldt County,rural,West,Pacific,Black,1096,26
2002,Humboldt County,rural,West,Pacific,Black,1137,33
2003,Humboldt County,rural,West,Pacific,Black,1172,34
2004,Humboldt County,rural,West,Pacific,Black,1166,27
2005,Humboldt County,rural,West,Pacific,Black,1234,21
2006,Humboldt County,rural,West,Pacific,Black,1323,29
2007,Humboldt County,rural,West,Pacific,Black,1339,27
2008,Humboldt County,rural,West,Pacific,Black,1402,17
2009,Humboldt County,rural,West,Pacific,Black,1451,22
2010,Humboldt County,rural,West,Pacific,Black,1453,23
2011,Humboldt County,rural,West,Pacific,Black,1599,24
2012,Humboldt County,rural,West,Pacific,Black,1636,25
2013,Humboldt County,rural,West,Pacific,Black,1704,19
2014,Humboldt County,rural,West,Pacific,Black,1723,17
2015,Humboldt County,rural,West,Pacific,Black,1772,17
2016,Humboldt County,rural,West,Pacific,Black,1845,NA
1970,Imperial County,small/mid,West,Pacific,Black,1439,NA
1971,Imperial County,small/mid,West,Pacific,Black,1399,NA
1972,Imperial County,small/mid,West,Pacific,Black,1379,NA
1973,Imperial County,small/mid,West,Pacific,Black,1416,NA
1974,Imperial County,small/mid,West,Pacific,Black,1407,NA
1975,Imperial County,small/mid,West,Pacific,Black,1404,NA
1976,Imperial County,small/mid,West,Pacific,Black,1409,NA
1977,Imperial County,small/mid,West,Pacific,Black,1400,NA
1978,Imperial County,small/mid,West,Pacific,Black,1391,NA
1979,Imperial County,small/mid,West,Pacific,Black,1385,NA
1980,Imperial County,small/mid,West,Pacific,Black,1612,NA
1981,Imperial County,small/mid,West,Pacific,Black,1626,NA
1982,Imperial County,small/mid,West,Pacific,Black,1634,NA
1983,Imperial County,small/mid,West,Pacific,Black,1627,9
1984,Imperial County,small/mid,West,Pacific,Black,1617,12
1985,Imperial County,small/mid,West,Pacific,Black,1630,15
1986,Imperial County,small/mid,West,Pacific,Black,1612,17
1987,Imperial County,small/mid,West,Pacific,Black,1608,16
1988,Imperial County,small/mid,West,Pacific,Black,1624,17
1989,Imperial County,small/mid,West,Pacific,Black,1654,NA
1990,Imperial County,small/mid,West,Pacific,Black,1407,NA
1991,Imperial County,small/mid,West,Pacific,Black,1550,13
1992,Imperial County,small/mid,West,Pacific,Black,1726,21
1993,Imperial County,small/mid,West,Pacific,Black,2093,20
1994,Imperial County,small/mid,West,Pacific,Black,2354,23
1995,Imperial County,small/mid,West,Pacific,Black,2740,23
1996,Imperial County,small/mid,West,Pacific,Black,2972,28
1997,Imperial County,small/mid,West,Pacific,Black,3312,25
1998,Imperial County,small/mid,West,Pacific,Black,3610,26
1999,Imperial County,small/mid,West,Pacific,Black,4013,23
2000,Imperial County,small/mid,West,Pacific,Black,4368,31
2001,Imperial County,small/mid,West,Pacific,Black,4338,22
2002,Imperial County,small/mid,West,Pacific,Black,4296,23
2003,Imperial County,small/mid,West,Pacific,Black,4418,23
2004,Imperial County,small/mid,West,Pacific,Black,4509,22
2005,Imperial County,small/mid,West,Pacific,Black,4640,28
2006,Imperial County,small/mid,West,Pacific,Black,4698,28
2007,Imperial County,small/mid,West,Pacific,Black,4764,26
2008,Imperial County,small/mid,West,Pacific,Black,4667,25
2009,Imperial County,small/mid,West,Pacific,Black,4607,25
2010,Imperial County,small/mid,West,Pacific,Black,4611,34
2011,Imperial County,small/mid,West,Pacific,Black,4488,29
2012,Imperial County,small/mid,West,Pacific,Black,4380,29
2013,Imperial County,small/mid,West,Pacific,Black,4331,27
2014,Imperial County,small/mid,West,Pacific,Black,3907,28
2015,Imperial County,small/mid,West,Pacific,Black,3900,34
2016,Imperial County,small/mid,West,Pacific,Black,3904,NA
1970,Inyo County,rural,West,Pacific,Black,23,NA
1971,Inyo County,rural,West,Pacific,Black,22,NA
1972,Inyo County,rural,West,Pacific,Black,21,NA
1973,Inyo County,rural,West,Pacific,Black,22,NA
1974,Inyo County,rural,West,Pacific,Black,21,NA
1975,Inyo County,rural,West,Pacific,Black,20,NA
1976,Inyo County,rural,West,Pacific,Black,22,NA
1977,Inyo County,rural,West,Pacific,Black,24,NA
1978,Inyo County,rural,West,Pacific,Black,21,NA
1979,Inyo County,rural,West,Pacific,Black,23,NA
1980,Inyo County,rural,West,Pacific,Black,22,NA
1981,Inyo County,rural,West,Pacific,Black,26,NA
1982,Inyo County,rural,West,Pacific,Black,31,NA
1983,Inyo County,rural,West,Pacific,Black,36,0
1984,Inyo County,rural,West,Pacific,Black,40,0
1985,Inyo County,rural,West,Pacific,Black,47,0
1986,Inyo County,rural,West,Pacific,Black,50,0
1987,Inyo County,rural,West,Pacific,Black,53,0
1988,Inyo County,rural,West,Pacific,Black,58,0
1989,Inyo County,rural,West,Pacific,Black,63,0
1990,Inyo County,rural,West,Pacific,Black,28,0
1991,Inyo County,rural,West,Pacific,Black,24,0
1992,Inyo County,rural,West,Pacific,Black,21,NA
1993,Inyo County,rural,West,Pacific,Black,19,NA
1994,Inyo County,rural,West,Pacific,Black,16,0
1995,Inyo County,rural,West,Pacific,Black,16,NA
1996,Inyo County,rural,West,Pacific,Black,16,NA
1997,Inyo County,rural,West,Pacific,Black,14,NA
1998,Inyo County,rural,West,Pacific,Black,14,0
1999,Inyo County,rural,West,Pacific,Black,12,0
2000,Inyo County,rural,West,Pacific,Black,19,0
2001,Inyo County,rural,West,Pacific,Black,25,0
2002,Inyo County,rural,West,Pacific,Black,35,0
2003,Inyo County,rural,West,Pacific,Black,40,NA
2004,Inyo County,rural,West,Pacific,Black,44,0
