number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
9,Rez Infinite,2017-08-09,24.99,"20,000 .. 50,000","Monstars Inc., Resonair",Enhance,0,0,89,2017
21,Zero Escape: The Nonary Games,2017-03-24,29.99,"20,000 .. 50,000","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",0,0,86,2017
36,Field of Glory II,2017-10-12,29.99,"20,000 .. 50,000",Byzantine Games,Slitherine Ltd.,0,0,84,2017
44,Four Last Things,2017-02-23,7.99,"20,000 .. 50,000",Joe Richardson,Joe Richardson,0,0,83,2017
45,Bleed 2,2017-02-08,9.99,"20,000 .. 50,000",Ian Campbell,Ian Campbell,0,0,83,2017
54,The Legend of Heroes: Trails in the Sky the 3rd,2017-05-03,29.99,"20,000 .. 50,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",0,0,83,2017
55,L.A. Noire: The VR Case Files,2017-12-15,29.99,"20,000 .. 50,000",Rockstar Games,Rockstar Games,0,0,82,2017
70,FORM,2017-06-01,14.99,"20,000 .. 50,000",Charm Games,Charm Games,0,0,81,2017
82,Ys SEVEN,2017-08-30,24.99,"20,000 .. 50,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",0,0,80,2017
85,JYDGE,2017-10-04,14.99,"20,000 .. 50,000",10tons Ltd,10tons Ltd,0,0,80,2017
95,Splasher,2017-02-07,14.99,"20,000 .. 50,000",Splashteam,Dear Villagers,0,0,79,2017
102,High Hell,2017-10-23,9.99,"20,000 .. 50,000","Terri Vellmann, Doseone",Devolver Digital,0,0,79,2017
117,Lydia,2017-06-02,4.99,"20,000 .. 50,000",Platonic Partnership Ltd,Platonic Partnership Ltd,0,0,78,2017
119,The Infectious Madness of Doctor Dekker,2017-05-19,8.99,"20,000 .. 50,000",D'Avekki Studios Ltd,D'Avekki Studios Ltd,680,680,78,2017
123,Slime-san: Superslime Edition,2017-04-07,14.99,"20,000 .. 50,000",Fabraz,Headup,0,0,78,2017
128,Downward,2017-07-13,9.99,"20,000 .. 50,000",Caracal Games,IndieGala,0,0,77,2017
129,Battlestar Galactica Deadlock,2017-08-31,39.99,"20,000 .. 50,000",Black Lab Games,Slitherine Ltd.,0,0,77,2017
132,Figment,2017-09-22,19.99,"20,000 .. 50,000",Bedtime Digital Games,Bedtime Digital Games,0,0,77,2017
135,Mushroom Wars 2,2017-10-06,14.99,"20,000 .. 50,000",Zillion Whales,Zillion Whales,0,0,76,2017
147,Serious Sam's Bogus Detour,2017-06-20,14.99,"20,000 .. 50,000","Crackshell, Croteam",Devolver Digital,0,0,76,2017
151,GET EVEN,2017-06-20,29.99,"20,000 .. 50,000",The Farm 51,BANDAI NAMCO Entertainment,0,0,75,2017
158,Vaporum,2017-09-28,9.99,"20,000 .. 50,000","Fatbot Games, s. r. o.","Fatbot Games, s. r. o.",0,0,75,2017
159,GIGA WRECKER,2017-02-06,19.99,"20,000 .. 50,000",GAME FREAK inc.,Rising Star Games,0,0,75,2017
160,World to the West,2017-05-05,14.99,"20,000 .. 50,000",Rain Games,Rain Games,0,0,75,2017
169,Milkmaid of the Milky Way,2017-01-04,5.99,"20,000 .. 50,000",Mattis Folkestad,machineboy,0,0,74,2017
170,Vampire: The Masquerade - Redemption,2017-04-18,5.99,"20,000 .. 50,000",Nihilistic Software,Activision,0,0,74,2017
171,Leaving Lyndow,2017-02-08,3.99,"20,000 .. 50,000",Eastshade Studios,Eastshade Studios,0,0,74,2017
176,Mages of Mystralia,2017-05-18,19.99,"20,000 .. 50,000",Borealys Games,Borealys Games,0,0,74,2017
181,Mainlining,2017-01-26,12.99,"20,000 .. 50,000",Rebelephant,Merge Games,0,0,73,2017
182,Toukiden 2,2017-03-21,59.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,0,73,2017
186,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),2017-08-09,14.99,"20,000 .. 50,000","Massive Damage, Inc.","Massive Damage, Inc.",0,0,73,2017
188,Children of Zodiarcs,2017-07-18,17.99,"20,000 .. 50,000",Cardboard Utopia,Square Enix,0,0,73,2017
193,Regalia: Of Men and Monarchs,2017-05-18,19.99,"20,000 .. 50,000",Pixelated Milk,Klabater,0,0,73,2017
196,Purrfect Date - Visual Novel/Dating Simulator,2017-12-15,9.99,"20,000 .. 50,000",Bae Team,Bossa Studios,0,0,72,2017
209,Narcosis,2017-03-28,14.99,"20,000 .. 50,000","Honor Code, Inc.","Honor Code, Inc.",0,0,72,2017
215,Aporia: Beyond The Valley,2017-07-19,16.99,"20,000 .. 50,000",Investigate North,Green Man Gaming Publishing,0,0,71,2017
220,Conarium,2017-06-06,19.99,"20,000 .. 50,000",Zoetrope Interactive,Iceberg Interactive,0,0,71,2017
221,OVIVO,2017-05-12,4.99,"20,000 .. 50,000",IzHard,IzHard,0,0,71,2017
223,BOOR,2017-02-14,4.99,"20,000 .. 50,000",DazlogStudio,BadLand Publishing,0,0,71,2017
229,Tokyo Dark,2017-09-07,17.99,"20,000 .. 50,000",Cherrymochi,Square Enix,0,0,70,2017
234,Tokyo 42,2017-05-31,19.99,"20,000 .. 50,000",SMAC Games,Mode 7,0,0,70,2017
237,"Warhammer 40,000: Sanctus Reach",2017-01-19,29.99,"20,000 .. 50,000",Straylight Entertainment,Slitherine Ltd.,0,0,69,2017
241,The Fidelio Incident,2017-05-23,9.99,"20,000 .. 50,000","Act 3 Games, LLC","Act 3 Games, LLC",0,0,69,2017
243,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,2017-07-06,2.99,"20,000 .. 50,000",Celery Emblem™,Zerouno Games,0,0,69,2017
247,DESYNC,2017-02-28,14.99,"20,000 .. 50,000",The Foregone Syndicate,Adult Swim Games,0,0,69,2017
258,Songbringer,2017-09-01,19.99,"20,000 .. 50,000",Wizard Fu,"Wizard Fu, Double Eleven",0,0,68,2017
259,Solstice Chronicles: MIA,2017-07-26,19.99,"20,000 .. 50,000",Ironward,Nkidu Games Inc.,0,0,68,2017
261,Shiness: The Lightning Kingdom,2017-04-18,29.99,"20,000 .. 50,000",Enigami,Focus Home Interactive,0,0,68,2017
278,ATOMEGA,2017-09-19,9.99,"20,000 .. 50,000","Reflections, a Ubisoft Studio",Ubisoft,0,0,65,2017
284,Nights of Azure,2017-02-07,29.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,0,64,2017
285,Moero Chronicle | 限界凸記 モエロクロニクル | 極限凸記　萌萌編年史,2017-08-16,9.99,"20,000 .. 50,000","COMPILE HEART, IDEA FACTORY",Idea Factory International,0,0,64,2017
287,The Franz Kafka Videogame,2017-04-06,6.99,"20,000 .. 50,000",Denis Galanin (mif2000),Daedalic Entertainment,0,0,64,2017
288,Redeemer,2017-08-01,14.99,"20,000 .. 50,000",Sobaka Studio,Good Shepherd Entertainment,267,267,64,2017
289,Fictorum,2017-08-09,19.99,"20,000 .. 50,000",Scraping Bottom Games,Scraping Bottom Games,0,0,64,2017
299,Has-Been Heroes,2017-03-27,19.99,"20,000 .. 50,000",Frozenbyte,GameTrust Games,0,0,63,2017
307,Phoning Home,2017-02-07,19.99,"20,000 .. 50,000",ION LANDS,ION LANDS,0,0,61,2017
309,Rogue Trooper Redux,2017-10-17,24.99,"20,000 .. 50,000",TickTock Games,Rebellion,0,0,60,2017
325,Don't Knock Twice,2017-09-05,19.99,"20,000 .. 50,000",Wales Interactive,Wales Interactive,0,0,56,2017
330,Freaky Awesome,2017-10-18,9.99,"20,000 .. 50,000",Mandragora,Mandragora,0,0,54,2017
337,Realpolitiks,2017-02-16,24.99,"20,000 .. 50,000",Jujubee S.A.,1C Entertainment,0,0,52,2017
341,Double Dragon IV,2017-01-30,6.99,"20,000 .. 50,000",Arc System Works,Arc System Works,0,0,50,2017
351,Inner Chains,2017-05-18,19.99,"20,000 .. 50,000",Telepaths Tree,IMGN.PRO,0,0,40,2017
378,Nancy Drew: Treasure in the Royal Tower,2017-05-22,9.99,"20,000 .. 50,000",HeR Interactive,HeR Interactive,0,0,NA,2017
380,Merri Puzzle,2017-06-22,0.99,"20,000 .. 50,000",Merriman Games,Merriman Games,0,0,NA,2017
390,Crimson Sword Saga: The Peloran Wars,2017-01-06,0.99,"20,000 .. 50,000","David Nguyen, David Chang",OtakuMaker,0,0,NA,2017
427,Awakening,2017-09-24,NA,"20,000 .. 50,000",AwingSoft,AwingSoft,0,0,NA,2017
482,StarCrawlers,2017-05-23,19.99,"20,000 .. 50,000",Juggernaut Games,Juggernaut Games,0,0,NA,2017
491,Weed Shop 2,2017-03-30,9.99,"20,000 .. 50,000",ADhD Studios,Weed Games,0,0,NA,2017
507,Skylar & Plux: Adventure On Clover Island,2017-05-19,14.99,"20,000 .. 50,000","Right Nice Games, Grip Digital",Grip Digital,0,0,NA,2017
512,Just Ignore Them,2017-04-28,3.99,"20,000 .. 50,000",Stranga,GrabTheGames,0,0,NA,2017
516,Sparc,2017-11-16,9.99,"20,000 .. 50,000",CCP,CCP,0,0,NA,2017
525,Furious Angels,2017-02-27,4.99,"20,000 .. 50,000",MorfeoDev,MorfeoDev,0,0,NA,2017
