number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
7878,QLORB 2,2018-02-26,4.99,"0 .. 20,000",Red Dolphin Games,VT Publishing,0,0,NA,2018
7879,Asteroid Girl,2018-02-05,1.99,"0 .. 20,000",BTNcafe,BTNcafe,0,0,NA,2018
7880,Géants disparus VR,2018-11-29,NA,"0 .. 20,000",Glitchr Studio,"France Télévisions - Nouvelles Ecritures, Chuck Productions, French Connection films, Glitchr Studio",0,0,NA,2018
7881,Ero Date,2018-09-06,0.49,"0 .. 20,000",meokigame,meokigame,0,0,NA,2018
7882,Light of the Mountain,2018-02-01,9.99,"0 .. 20,000",Songhouse Games,Songhouse Games,0,0,NA,2018
7883,Dude Cops,2018-09-05,NA,"0 .. 20,000",Osgoode Media,Osgoode Media,0,0,NA,2018
7884,Corridor Z,2018-01-08,0.79,"0 .. 20,000",Mass Creation,Mass Creation,0,0,NA,2018
7885,Lost Lands: Mistakes of the Past,2018-12-13,6.99,"0 .. 20,000",FIVE-BN GAMES,FIVE-BN GAMES,0,0,NA,2018
7886,COSMIC SNAKE 8473/3671(HAMLETs),2018-05-23,9.99,"0 .. 20,000","Mindware Co.,Ltd.","Mindware Co.,Ltd.",0,0,NA,2018
7887,Spreadstorm,2018-06-13,11.99,"0 .. 20,000",unbeGames,unbeGames,0,0,NA,2018
7888,Asher,2018-03-12,5.99,"0 .. 20,000",Danl2o2o,Danl2o2o,0,0,NA,2018
7890,Tavern Table Tactics,2018-01-25,4.99,"0 .. 20,000",Double Digit Games,Double Digit Games,0,0,NA,2018
7891,Epic Skater 2,2018-11-08,14.99,"0 .. 20,000",Your Daily Fill,Your Daily Fill,0,0,NA,2018
7892,Cyborg Invasion Shooter 2: Battle Of Earth,2018-02-28,0.49,"0 .. 20,000",Tero Lunkka,Tero Lunkka,0,0,NA,2018
7893,Sliver-Sclicker,2018-05-12,0.99,"0 .. 20,000",Nekyau Games,Nekyau,0,0,NA,2018
7894,After the Collapse,2018-10-08,9.99,"0 .. 20,000",Anarkis Gaming,Anarkis Gaming,0,0,NA,2018
7895,Necro Immortallis,2018-06-01,4.99,"0 .. 20,000",Vidas Salavejus,Vidas Salavejus,0,0,NA,2018
7896,King and Assassins,2018-08-08,6.99,"0 .. 20,000",Playsoft,Asmodee Digital,0,0,NA,2018
7897,Achievement Lurker: Another one bites the dust,2018-03-31,1.99,"0 .. 20,000",Perverse Games,Perverse Games,0,0,NA,2018
7898,Welcome Above,2018-12-14,8.99,"0 .. 20,000",Framefield GmbH,Framefield GmbH,0,0,NA,2018
7899,70 Seconds Survival,2018-08-08,1.99,"0 .. 20,000","Tero Lunkka, Valkeala Software",Tero Lunkka,0,0,NA,2018
7900,Forever Space,2018-03-07,NA,"0 .. 20,000",Pinhead Games,Pinhead Games,0,0,NA,2018
7901,Shinrin-yoku: Forest Meditation and Relaxation,2018-01-19,NA,"0 .. 20,000",Hinge Digital,Hinge Digital,0,0,NA,2018
7902,Armored Train,2018-09-12,0.99,"0 .. 20,000",NORSKA,NORSKA,0,0,NA,2018
7903,Quick Maths: addition and subtraction,2018-08-30,0.99,"0 .. 20,000",Star Legion,Star Legion,0,0,NA,2018
7904,LOGistICAL: Brazil,2018-06-14,9.99,"0 .. 20,000",Sacada,Sacada,0,0,NA,2018
7905,Burden of Proof,2018-07-26,14.99,"0 .. 20,000",RobProductions,RobProductions,0,0,NA,2018
7906,Icarus Six Sixty Six,2018-01-04,NA,"0 .. 20,000",Titmouse,Titmouse,0,0,NA,2018
7907,Subterraneus,2018-12-12,12.99,"0 .. 20,000",CrazyKraken,Plug In Digital,0,0,NA,2018
7908,COSMONAUT,2018-01-11,6.99,"0 .. 20,000","Neon Chasm, LLC","Neon Chasm, LLC",0,0,NA,2018
7909,Retro Sphere,2018-02-23,3.99,"0 .. 20,000",UMBRESS,UMBRESS,0,0,NA,2018
7910,Russian Gangsta In HELL,2018-05-09,0.99,"0 .. 20,000","Nikita ""Ghost_RUS""",Ghost_RUS Games,0,0,NA,2018
7911,The Adventures of Mr. Fluffykins,2018-09-17,3.99,"0 .. 20,000",theBroodProductions,theBroodProductions,0,0,NA,2018
7912,StackFortress,2018-03-04,9.99,"0 .. 20,000",Overimagined Games,Overimagined Games,0,0,NA,2018
7913,Space Shaft,2018-03-10,0.99,"0 .. 20,000",starmops,starmops,0,0,NA,2018
7914,Battlecursed,2018-02-07,NA,"0 .. 20,000",Codex Worlds,Codex Worlds,0,0,NA,2018
7915,The Beanstalk,2018-01-25,NA,"0 .. 20,000",Beanstalk VR Team (BYU),Grant Hansen,0,0,NA,2018
7916,Neuro,2018-05-04,1.99,"0 .. 20,000",PETABYTE GM,PETABYTE GM,0,0,NA,2018
7917,Movavi Video Converter Premium 19,2018-12-05,49.99,"0 .. 20,000",Movavi,Movavi,0,0,NA,2018
7918,Fatal Hour: Petroleum,2018-08-22,5.99,"0 .. 20,000",Thor Gaming,Thor Gaming,0,0,NA,2018
7919,Viking Brothers 4,2018-04-25,6.99,"0 .. 20,000",Alawar Stargaze,Alawar Entertainment,0,0,NA,2018
7920,The Sky Climber,2018-11-09,1.99,"0 .. 20,000",Tormentor,Tormentor,0,0,NA,2018
7921,Destructions,2018-07-03,7.99,"0 .. 20,000",LUK KUS SOFT,LUK KUS SOFT,0,0,NA,2018
7922,Labyrinths of Atlantis,2018-03-27,0.99,"0 .. 20,000",ARGames,Metal Fox,0,0,NA,2018
7923,Kings,2018-11-02,0.49,"0 .. 20,000",RewindApp,RewindApp,0,0,NA,2018
7924,Plunder,2018-12-18,NA,"0 .. 20,000","Scott Grambo, Ross Grambo",Grambo Games L.L.P,0,0,NA,2018
7925,Toddler Simulator,2018-03-05,3.99,"0 .. 20,000",JoshCorp,JoshCorp,0,0,NA,2018
7926,Apocalypse Mechanism,2018-06-11,14.99,"0 .. 20,000",Mirage Interactive,Mirage Interactive,0,0,NA,2018
7927,Neon Force Pushers,2018-04-25,NA,"0 .. 20,000",Gabriel Schwab,Gabriel Schwab,0,0,NA,2018
7928,District 112 Incident: Bowling Alley,2018-05-09,0.99,"0 .. 20,000",Casual.US,Casual.US,0,0,NA,2018
7929,The Road to Canterbury,2018-04-26,4.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA,2018
7930,DinoKnights,2018-08-22,4.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA,2018
7932,Moto VR,2018-02-23,9.99,"0 .. 20,000",Anea_Duo_Dev,Anea_Duo_Dev,0,0,NA,2018
7933,Tippy Tree,2018-12-04,1.99,"0 .. 20,000",Mythical City Games,Mythical City Games,0,0,NA,2018
7935,'1st Core: The Zombie Killing Cyborg',2018-06-30,4.99,"0 .. 20,000",Jesper Skjærbæk,Jesper Skjærbæk,0,0,NA,2018
7937,TinyWar high-speed,2018-02-21,9.99,"0 .. 20,000",Masakazu Yanai,Rutenn no oheya,0,0,NA,2018
7939,July the Lost Child,2018-10-01,2.99,"0 .. 20,000",sgct,sgct,0,0,NA,2018
7941,Toybit Quest,2018-07-12,3.99,"0 .. 20,000",MKrew,MKrew,0,0,NA,2018
7943,Lisssn,2018-01-31,9.99,"0 .. 20,000",Robert Wolff and Knut Müller,Runesoft GmbH,0,0,NA,2018
7945,Dead Forest,2018-08-03,0.99,"0 .. 20,000","Borov, Sashka Shlapik","Borov, Sashka Shlapik",0,0,NA,2018
7946,Station 21 - Space Station Simulator,2018-02-16,NA,"0 .. 20,000",Robert Ferry,Robert Ferry,0,0,NA,2018
7947,Squally,2018-11-06,24.99,"0 .. 20,000","Zachary Canann, Matt Bucci, Nathan Lewis","Squalr, Inc.",0,0,NA,2018
7949,What A Trash Game!,2018-07-25,6.99,"0 .. 20,000",Winglett Entertainment,Winglett Entertainment,0,0,NA,2018
7950,Sabbat of the Witch,2018-10-26,29.99,"0 .. 20,000",Yuzusoft,NekoNyan Ltd.,0,0,NA,2018
7951,Simon the Sorcerer 2: 25th Anniversary Edition,2018-04-03,8.99,"0 .. 20,000","MojoTouch, Adventure Soft",MojoTouch,0,0,NA,2018
7953,Splotches,2018-12-03,9.99,"0 .. 20,000",Jolly Crouton Media Ltd.,Jolly Crouton Media Ltd.,0,0,NA,2018
7955,Detective escape1,2018-11-23,0.99,"0 .. 20,000",beishizixin,beishizixin,0,0,NA,2018
7957,RollerCoaster Legends II: Thor's Hammer,2018-06-05,5.99,"0 .. 20,000",WarDucks,WarDucks,0,0,NA,2018
7958,Torii Path,2018-09-04,1.99,"0 .. 20,000",Jeon,Jeon,0,0,NA,2018
7960,Les Misérables: Cosette's Fate,2018-04-03,2.99,"0 .. 20,000",Mzonestudio,Microïds Indie,0,0,NA,2018
7962,Secrets of the Past: Dion,2018-11-28,3.99,"0 .. 20,000",Culturplay,Culturplay,0,0,NA,2018
7963,Frqncy,2018-07-30,3.99,"0 .. 20,000",Mitch Kuronya,Mitch Kuronya,0,0,NA,2018
7964,Fog of War,2018-06-18,6.99,"0 .. 20,000",Monkeys Lab.,Neokosmos Technologies Ltd.,0,0,NA,2018
7965,Deadly Cryptids,2018-04-11,11.99,"0 .. 20,000",Timothy Brake,Flow VR,0,0,NA,2018
7968,Rune Lord,2018-05-30,6.99,"0 .. 20,000",Adept Studios GD,Alawar Entertainment,0,0,NA,2018
7970,BlitzKeep Unleashed,2018-10-14,8.99,"0 .. 20,000",Flint Games,Flint Games,0,0,NA,2018
7971,CHANGE: A Homeless Survival Experience,2018-09-20,9.99,"0 .. 20,000",Delve Interactive,Delve Interactive,0,0,NA,2018
7972,Magic Masks,2018-04-30,2.99,"0 .. 20,000",Magic Masks Team,Magic Masks Team,0,0,NA,2018
7975,LOGistICAL: USA - Wisconsin,2018-03-16,7.99,"0 .. 20,000",Sacada,Sacada,0,0,NA,2018
7976,Sailaway - The Sailing Simulator,2018-02-27,39.99,"0 .. 20,000",Orbcreation,The Irregular Corporation,0,0,NA,2018
7979,BATTLE ZOMBIE SHOOTER: SURVIVAL OF THE DEAD,2018-06-08,0.49,"0 .. 20,000",DRUNKEN APES,DRUNKEN APES,0,0,NA,2018
7982,Audio Converter,2018-06-20,6.99,"0 .. 20,000",Music Breath,Music Breath,0,0,NA,2018
7983,Contagion VR: Outbreak,2018-06-29,19.99,"0 .. 20,000","Monochrome, Inc","Monochrome, Inc",0,0,NA,2018
7986,The Door of Ice 冰封之门,2018-02-12,2.99,"0 .. 20,000",广州虚拟动力网络技术有限公司,广州虚拟动力网络技术有限公司,0,0,NA,2018
7988,Devil's Toy,2018-11-06,3.99,"0 .. 20,000",Blueplant Entertainment,Blueplant Entertainment,0,0,NA,2018
7990,Slay All Goblins,2018-12-24,NA,"0 .. 20,000",ninedux,ninedux,0,0,NA,2018
7991,Panzer Strategy,2018-08-31,14.99,"0 .. 20,000",Starni Games,Starni Games,0,0,NA,2018
7992,Dear Leader,2018-04-20,3.99,"0 .. 20,000",Pleizter Games,Pleizter Games,0,0,NA,2018
7994,NearEscape,2018-10-08,1.99,"0 .. 20,000",ElMaHeGames,ElMaHeGames,0,0,NA,2018
7995,Fractured Lands,2018-07-31,24.99,"0 .. 20,000",Unbroken Studios,Unbroken Studios,0,0,NA,2018
7996,Eternam,2018-02-08,6.99,"0 .. 20,000",Infogrames,Piko Interactive LLC,0,0,NA,2018
7997,President Yukino,2018-10-11,14.99,"0 .. 20,000",Acerola,Kagura Games,0,0,NA,2018
7998,GrabBag,2018-08-14,1.99,"0 .. 20,000",Shadow Factory,Shadow Factory,0,0,NA,2018
8000,Buried Alive VR,2018-04-03,0.99,"0 .. 20,000",Room 8 Studio,Trapped,0,0,NA,2018
8002,"Cyberlink Screen Recorder 4 - Record your games, RPG, car game, shooting gameplay - Game Recording and Streaming Software",2018-11-27,49.99,"0 .. 20,000",CyberLink,Deep Silver,0,0,NA,2018
8003,Sokoban: The RPG,2018-09-06,5.99,"0 .. 20,000",Mike Daas,Mike Daas,0,0,NA,2018
8004,Son of a Witch,2018-05-16,10.49,"0 .. 20,000",Bigosaur,Bigosaur,0,0,NA,2018
8006,Freddy's Journey,2018-06-15,1.99,"0 .. 20,000",Grim World Company,Grim World Company,0,0,NA,2018
8009,Just One Color,2018-03-04,0.99,"0 .. 20,000",Mask,Mask,0,0,NA,2018
8010,DERE EVIL .EXE,2018-07-03,0.99,"0 .. 20,000",Darius Immanuel D. Guerrero,"AppSir, Inc.",0,0,NA,2018
8012,Kukoo Kitchen,2018-11-07,7.99,"0 .. 20,000",Questtracers,Questtracers,0,0,NA,2018
8013,SG/ZH: School Girl/Zombie Hunter,2018-06-05,39.99,"0 .. 20,000",Tamsoft,D3 PUBLISHER,0,0,NA,2018
8014,Bibi & Tina - Adventures with Horses,2018-11-12,19.99,"0 .. 20,000",Independent Arts Software,familyplay,0,0,NA,2018
8015,Frontier Pilot Simulator,2018-01-30,24.99,"0 .. 20,000",RAZAR s.r.o.,RAZAR s.r.o.,0,0,NA,2018
8017,Rugosi,2018-08-08,0.99,"0 .. 20,000",Fürst,The Idea Software,0,0,NA,2018
8020,Arcade Love / ゲーセンラブ。,2018-06-19,18.99,"0 .. 20,000",TRIANGLE SERVICE,TRIANGLE SERVICE,0,0,NA,2018
8022,Neon Valley: Revenge,2018-02-28,14.99,"0 .. 20,000",Daydream Productions,Daydream Productions,0,0,NA,2018
8023,Sword Legacy: Omen,2018-08-13,8.99,"0 .. 20,000","Firecast Studio, Fableware Narrative Design",Team17 Digital Ltd,0,0,NA,2018
8025,Capture the monster,2018-02-23,0.49,"0 .. 20,000",Dexion Games,Dexion Games,0,0,NA,2018
8027,Battle Of Keys,2018-03-21,0.99,"0 .. 20,000",Tero Lunkka,Tero Lunkka,0,0,NA,2018
8030,Waifu Bay Girls,2018-11-02,NA,"0 .. 20,000",NA,Proton Studio Inc,0,0,NA,2018
8034,Scheming Through The Zombie Apocalypse: The Beginning,2018-06-08,4.99,"0 .. 20,000",Entertainment Forge,GrabTheGames,0,0,NA,2018
8035,Mad Hunting Simulator VR,2018-12-30,9.99,"0 .. 20,000",Smartmove,Smartmove,0,0,NA,2018
8036,Beneath The Surface,2018-11-13,NA,"0 .. 20,000",carla51,carla51,0,0,NA,2018
8038,Madness of the Architect,2018-02-02,0.89,"0 .. 20,000",Podunk Studioz,Funbox Media Ltd,0,0,NA,2018
8039,Squirm,2018-03-22,1.99,"0 .. 20,000",Alex Carpenter,Alex Carpenter,0,0,NA,2018
8041,Recursive Dragon,2018-06-20,9.99,"0 .. 20,000",GameChain,GameChain,0,0,NA,2018
8044,Midnightland,2018-01-19,4.99,"0 .. 20,000",Lorag Games,Lorag Games,0,0,NA,2018
8047,Soldiers Lost Forever (1914-1918),2018-07-01,2.99,"0 .. 20,000",Jake Olson,Impartial Studios,0,0,NA,2018
8048,Mad Tower Tycoon,2018-10-18,14.99,"0 .. 20,000",Eggcode,Eggcode,0,0,NA,2018
8049,Dream Car Builder,2018-09-21,6.19,"0 .. 20,000",RoKo0 (Roman Konyukhov),RoKo0 (Roman Konyukhov),0,0,NA,2018
8050,Bounce Rescue!,2018-02-01,1.99,"0 .. 20,000",Bitecore Ltd.,Bitecore Ltd.,0,0,NA,2018
8051,UnHolY DisAsTeR,2018-03-17,12.99,"0 .. 20,000",UnholY CreatioN,UnholY CreatioN,0,0,NA,2018
8052,OPUS: Rocket of Whispers,2018-02-08,8.99,"0 .. 20,000",SIGONO INC.,"SIGONO INC., Coconut Island Games",0,0,NA,2018
8053,Rome Reborn: The Roman Forum,2018-08-31,19.99,"0 .. 20,000","Vector VR, LLC",Flyover Zone Productions,0,0,NA,2018
8055,Neon Universe,2018-07-02,3.99,"0 .. 20,000",SharF Co.,SharF Co.,0,0,NA,2018
8058,Fall Down,2018-04-10,0.99,"0 .. 20,000",Kadir Demiroğlu,Kadir Demiroğlu,0,0,NA,2018
8059,Tennis World Tour,2018-06-12,49.99,"0 .. 20,000",Breakpoint,Bigben Interactive,0,0,NA,2018
8061,Harsh,2018-01-25,9.99,"0 .. 20,000",Harsh Reality Productions LLC,Harsh Reality,0,0,NA,2018
8062,侠隐行录：困境疑云Wuxia archive: Crisis escape,2018-09-25,8.99,"0 .. 20,000","Ryu Productions Co., Ltd",Gamera Game,0,0,NA,2018
8064,Light House Puzzle,2018-10-25,0.49,"0 .. 20,000",Garnudo Games,Garnudo Games,0,0,NA,2018
8065,Welcome Back To 2007,2018-05-09,0.49,"0 .. 20,000",Siberian Mouse,Siberian Mouse,0,0,NA,2018
8067,The Pirates of Sector 7,2018-06-01,0.99,"0 .. 20,000",Kneeling Bean Studio,Kneeling Bean Studio,0,0,NA,2018
8068,Bing Bong XL,2018-05-14,0.99,"0 .. 20,000",Nickervision Studios,Nickervision Studios,0,0,NA,2018
8070,ZYTERNION,2018-04-06,1.99,"0 .. 20,000",Pigeonaut,Pigeonaut,0,0,NA,2018
8071,Stay Alive: Apocalypse,2018-01-15,14.99,"0 .. 20,000",Mehan Games,Mehan Games,0,0,NA,2018
8073,Fenix Box,2018-01-12,0.99,"0 .. 20,000",Green Lava Studios,Green Lava Studios,0,0,NA,2018
8074,NAIRI: Tower of Shirin,2018-11-29,9.99,"0 .. 20,000",HomeBearStudio,"Another Indie, Hound Picked Games",0,0,NA,2018
8076,Ralf,2018-11-20,9.99,"0 .. 20,000",Games By Cane,Games By Cane,0,0,NA,2018
8078,Dragon Defense,2018-10-12,4.99,"0 .. 20,000",Rufoid AB,Rufoid AB,0,0,NA,2018
8080,Aether Drift,2018-08-27,14.99,"0 .. 20,000",Toxic Sasquatch Games,Toxic Sasquatch LLC,0,0,NA,2018
8081,ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ,2018-09-04,29.99,"0 .. 20,000","Konami Digital Entertainment, Cygames, Inc.",Konami Digital Entertainment,0,0,NA,2018
8082,A Gentlemanly Adventure,2018-11-02,7.99,"0 .. 20,000",Not Chicken Games,Not Chicken Games,0,0,NA,2018
8083,The Bond,2018-10-30,NA,"0 .. 20,000",Axis Studios,Axis Studios,0,0,NA,2018
8084,Flowers -Le volume sur ete-,2018-07-26,19.99,"0 .. 20,000",Innocent Grey,JAST USA,0,0,NA,2018
8085,Moonbase Down,2018-06-19,2.99,"0 .. 20,000",Advent RPG,Advent RPG,0,0,NA,2018
8086,Secret Little Haven,2018-02-27,4.99,"0 .. 20,000",Hummingwarp Interactive,Hummingwarp Interactive,0,0,NA,2018
8087,"Species: Artificial Life, Real Evolution",2018-09-28,19.99,"0 .. 20,000",Quasar,Quasar,0,0,NA,2018
8088,Hungry Piggy vs Chicken,2018-04-30,3.99,"0 .. 20,000",BIG WOOD GAMES,BIG WOOD GAMES,0,0,NA,2018
8090,Headliner: NoviNews,2018-10-23,13.99,"0 .. 20,000",Unbound Creations,Unbound Creations,0,0,NA,2018
8091,Showdown at Willow Creek,2018-01-18,2.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA,2018
8092,11-11 Memories Retold,2018-11-08,29.99,"0 .. 20,000","Aardman Animations, Digixart",BANDAI NAMCO Entertainment Europe,0,0,NA,2018
8093,Colony On Mars,2018-01-04,1.99,"0 .. 20,000","Nikita ""Ghost_RUS""",Ghost_RUS Games,0,0,NA,2018
8094,Loria,2018-11-27,18.99,"0 .. 20,000",Loria,Loria,0,0,NA,2018
8096,Jurassic Safari Hunt,2018-05-25,5.99,"0 .. 20,000",Simulators Live,Simulators Live,0,0,NA,2018
8098,ECHO OF SOUL,2018-12-06,8.99,"0 .. 20,000","Blue Potion Games Co., Ltd","Blue Potion Games Co., Ltd",0,0,NA,2018
8099,Driftpunk Racer,2018-08-29,5.99,"0 .. 20,000",Speedspark Studio,Speedspark Studio,0,0,NA,2018
8101,LEGO The Incredibles,2018-06-15,39.99,"0 .. 20,000","TT Games, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",0,0,NA,2018
8102,Full Metal Renegade,2018-08-05,9.99,"0 .. 20,000",Action Portal,Action Portal,0,0,NA,2018
8103,Ascendant Hearts,2018-01-18,9.99,"0 .. 20,000",Visualnoveler,Visualnoveler,0,0,NA,2018
8104,Diner Bros,2018-07-06,9.99,"0 .. 20,000",JAYFLGAMES,JAYFLGAMES,0,0,NA,2018
8105,Echoes in White,2018-09-01,7.99,"0 .. 20,000",Classic Arts GmbH,Magic Horizons GmbH,0,0,NA,2018
8106,Sudoku Zenkai,2018-04-02,1.99,"0 .. 20,000",ImaginationOverflow,ImaginationOverflow,0,0,NA,2018
8108,Don't Look Back,2018-03-20,NA,"0 .. 20,000",UltraDarthVader,UltraDarthVader,0,0,NA,2018
8109,Mechanism,2018-07-19,12.99,"0 .. 20,000",Alexander Goodwin,Alexander Goodwin,0,0,NA,2018
8111,Professor Watts Memory Match: Cute Animals,2018-08-07,4.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0,0,NA,2018
8112,Poly Universe,2018-07-20,9.99,"0 .. 20,000",Pouchmouse,Pouchmouse,0,0,NA,2018
8114,InkSplosion,2018-05-09,4.99,"0 .. 20,000",Petite Games,Ratalaika Games S.L.,0,0,NA,2018
8115,Apocryph: an old-school shooter,2018-04-27,14.99,"0 .. 20,000",Bigzur Games,Bigzur Games,0,0,NA,2018
8116,Copy Kitty,2018-04-19,14.99,"0 .. 20,000",Nuclear Strawberry,Degica,0,0,NA,2018
8117,Little elf,2018-10-19,19.99,"0 .. 20,000",yang1zhi,yang1zhi,0,0,NA,2018
8118,Story of Eve - A Hero's Study,2018-10-16,2.99,"0 .. 20,000",SmallSqurriel,SmallSqurriel,0,0,87,2018
8119,The Wall,2018-11-02,9.99,"0 .. 20,000",Aero Games,Aero Games LLC,0,0,NA,2018
8120,Roller,2018-05-18,NA,"0 .. 20,000",Strawberry Game Studios,Strawberry Game Studios,0,0,NA,2018
8121,ReX,2018-05-17,0.99,"0 .. 20,000",Ali Asfand,Ali Asfand,0,0,NA,2018
8122,Super Puzzle Galaxy,2018-07-05,NA,"0 .. 20,000",2 Bears Studio,Vive Studios,0,0,NA,2018
8123,Ceress and Orea,2018-04-20,1.99,"0 .. 20,000",Plueschkatze,Plueschkatze,0,0,NA,2018
8124,异种战争少女 Alien War Girl,2018-11-14,3.99,"0 .. 20,000",BVRgame,Youxicehuahuisuo,0,0,NA,2018
8125,ForzeBreak,2018-10-31,NA,"0 .. 20,000","Swift Limit Games, Miguel O. Mercado, Jason Lin, Boyang Zhou, Xiaoyu Yang, Zihang Zhang, Martha Magsombol, Jairus Cambe, Alan “AG” Gordon, Matthew Eis",Swift Limit Games,0,0,NA,2018
8126,I ♥ You!,2018-09-10,0.99,"0 .. 20,000",MyDreamForever,Atriagames,0,0,NA,2018
8127,Sector Six,2018-09-07,9.99,"0 .. 20,000",Aivaras Klimas,Michael Jendryssek,0,0,NA,2018
8128,Turn up jeans,2018-05-17,0.99,"0 .. 20,000",Anime squad,Anime squad,0,0,NA,2018
8131,Star Plantation,2018-03-05,5.99,"0 .. 20,000",Kando Corp,Kando Corp,0,0,NA,2018
8133,Hell Breaker,2018-12-18,NA,"0 .. 20,000",bHaptics Inc.,bHaptics Inc.,0,0,NA,2018
8134,The Mine,2018-08-08,NA,"0 .. 20,000","Ian, Megan, Maxen",M.I.M,0,0,NA,2018
8135,Asterix & Obelix XXL 2,2018-11-28,29.99,"0 .. 20,000",OSome Studio,Microids,0,0,NA,2018
8136,Master of Rogues - The Seven Artifacts,2018-08-15,4.99,"0 .. 20,000",Mr.Purple,Mr.Purple,0,0,NA,2018
8137,Golf Peaks,2018-11-13,4.99,"0 .. 20,000",Afterburn,Afterburn,0,0,NA,2018
8138,ARK Park,2018-03-21,39.99,"0 .. 20,000",Snail Games,Snail Games,0,0,NA,2018
8139,Bleeding Sun,2018-07-14,3.99,"0 .. 20,000",Jaime Paz Lopes,Jaime Paz Lopes,0,0,NA,2018
8140,Relic Raiders,2018-10-26,NA,"0 .. 20,000",Crystallized Games,Crystallized Games,0,0,NA,2018
8141,Furious Seas,2018-07-16,19.99,"0 .. 20,000",Future Immersive,Future Immersive,0,0,NA,2018
8142,Adventure in Kana Village,2018-05-26,6.99,"0 .. 20,000",CoughCat,CoughCat Software,0,0,NA,2018
8143,Necromancer Returns,2018-02-01,9.99,"0 .. 20,000",Greenolor Studio,Greenolor Studio,0,0,NA,2018
8144,Radiant One,2018-07-30,3.99,"0 .. 20,000",Fntastic,Fntastic,0,0,NA,2018
8145,Yafti,2018-04-12,0.99,"0 .. 20,000",Russpuppy,Russpuppy,0,0,NA,2018
8148,Bright Bob,2018-02-03,0.99,"0 .. 20,000",Hardcore__Games,Hardcore__Games,0,0,NA,2018
8149,伏雨录：少年篇（Summer Rain）,2018-05-11,6.99,"0 .. 20,000",祥,祥,0,0,NA,2018
8150,The Great C,2018-10-08,5.99,"0 .. 20,000",Secret Location Inc.,Secret Location Inc.,0,0,NA,2018
8151,Brick Breaker Halloween,2018-12-07,1.99,"0 .. 20,000",Moravia Games,Sedoc LLC,0,0,NA,2018
8152,The Impure,2018-08-07,4.99,"0 .. 20,000","Gamma-Lambda Games, Wingjoy Games",INDIECN,0,0,NA,2018
8154,Combo Jumper,2018-10-24,9.99,"0 .. 20,000",Veathen Games,Veathen Games,0,0,NA,2018
8156,Arcane Trials,2018-09-19,4.99,"0 .. 20,000",Sifermi,Sifermi,0,0,NA,2018
8157,Shield Impact,2018-08-29,0.5,"0 .. 20,000",Magitech Games,Magitech Games,0,0,NA,2018
8158,Townsmen VR,2018-02-08,9.99,"0 .. 20,000",HandyGames,HandyGames,0,0,NA,2018
8159,Team A.R.G. Anthology,2018-07-30,NA,"0 .. 20,000","Team A.R.G., Blake W. Ford",Radical Piece,0,0,NA,2018
8160,Rigid Force Alpha,2018-08-31,19.99,"0 .. 20,000",com8com1 Software,com8com1 Software,0,0,NA,2018
8161,LINCH,2018-01-02,5.99,"0 .. 20,000",Datura Games,Datura Games,0,0,NA,2018
8162,Candy,2018-06-19,0.99,"0 .. 20,000",Right Games,Right Games,0,0,NA,2018
8165,Simple Sailing,2018-05-11,4.99,"0 .. 20,000",Casual.US,Casual.US,0,0,NA,2018
8166,The Word Is Not The Thing,2018-11-01,1.99,"0 .. 20,000",Mavenmob,Mavenmob,0,0,NA,2018
8167,Sarcophag,2018-04-05,0.59,"0 .. 20,000",Crew Lab,Crew Lab,0,0,NA,2018
8169,Hostage: Rescue Mission,2018-02-08,4.99,"0 .. 20,000",Infogrames,Classics Digital,0,0,NA,2018
8170,CRAZY BIGHEADS,2018-03-13,14.99,"0 .. 20,000",Delirio,Delirio,0,0,NA,2018
8171,qop 4,2018-12-19,0.59,"0 .. 20,000",Quiet River,Quiet River,0,0,NA,2018
8173,Fairyland: The Guild,2018-09-07,4.99,"0 .. 20,000",Naarassusi Game,Naarassusi Game,0,0,NA,2018
8174,Porcelain Panic,2018-02-19,0.99,"0 .. 20,000",Alone Games,Alone Games,0,0,NA,2018
8175,Animyst,2018-07-02,NA,"0 .. 20,000",Animyst Games,Animyst Games,0,0,NA,2018
8176,Burnin' Rubber 5 HD,2018-02-14,9.99,"0 .. 20,000",Xform,Xform,0,0,NA,2018
8177,Campfire Pro,2018-10-01,49.99,"0 .. 20,000",Campfire Technology LLC,Campfire Technology LLC,0,0,NA,2018
8178,SurvivalZ,2018-02-19,0.49,"0 .. 20,000",KicklessGame,RewindApp,0,0,NA,2018
8179,DeFaster,2018-05-11,0.99,"0 .. 20,000",Nekyau Games,Nekyau,0,0,NA,2018
8180,Mumps,2018-01-22,0.49,"0 .. 20,000",MrSandman,NedoStudio,0,0,NA,2018
8181,SAS,2018-06-06,14.99,"0 .. 20,000",True Illusion Software,True Illusion Software,0,0,NA,2018
